num_qubits,fid,fid_base,esp,esp_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_cuts_base
8,0.6580327653149088,0.815861742389937,0.9900462177521271,0.9892549034267384,3,6,12,14,9,27,1,1
10,0.6825397634835411,0.6250666229547703,0.9874744232839305,0.9896507043333879,4,6,13,14,14,27,1,1
8,0.695130535103334,0.8409065366249999,0.9900462177521271,0.9892549034267384,3,6,12,14,9,27,1,1
10,0.7434567939518659,0.687052952009703,0.9874744232839305,0.9896507043333879,4,6,13,14,14,27,1,1
12,0.6390156271874976,0.5763637844475945,0.9847123374272048,0.9892549034267384,5,6,14,14,20,27,1,1
8,0.6843207144628091,0.8407106170104895,0.9900462177521271,0.9892549034267384,3,6,12,14,9,27,1,1
10,0.7432562867727923,0.619462995414075,0.9874744232839305,0.9896507043333879,4,6,13,14,14,27,1,1
12,0.6318604239421655,0.5521078541748207,0.9847123374272048,0.9892549034267384,5,6,14,14,20,27,1,1
12,0.6247131659286896,0.5676032771050067,0.9847123374272045,0.9892549034267384,5,6,14,14,20,27,1,1
8,0.8427151381823272,0.8205757980792684,0.9900462177521271,0.9892549034267384,3,6,12,14,9,27,1,1
10,0.7939071450764584,0.6728031624912554,0.9874744232839304,0.9896507043333879,4,6,13,14,14,27,1,1
