num_qubits,fid,fid_base,esp,esp_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_cuts_base
10,0.30892940440992395,0.7998018216829746,0.9835304464884241,0.9809755777194442,8,15,27,32,17,51,2,2
10,0.34072808734964816,0.8035970022563352,0.9835304464884241,0.9809755777194442,8,15,27,32,17,51,2,2
8,0.3850908316790296,0.856377250775354,0.9870790482474778,0.9860919691992304,6,11,23,24,11,32,2,2
12,0.4648574257706602,0.754942633724784,0.9798966026815104,0.985500461911786,10,11,31,27,24,32,2,2
8,0.49201446928051173,0.8542454785313902,0.9875727358680133,0.9860919691992304,6,11,21,24,11,32,2,2
10,0.4567417973429999,0.796620473441021,0.9835304464884241,0.985500461911786,8,11,27,27,17,32,2,2
8,nan,nan,0.9870790482474779,0.9860919691992304,6,11,23,24,11,32,2,2
10,nan,nan,0.9835304464884241,0.985500461911786,8,11,27,27,17,32,2,2
12,nan,nan,0.9798966026815104,0.985500461911786,10,11,31,27,24,32,2,2
12,nan,nan,0.9798966026815104,0.985500461911786,10,11,31,27,24,32,2,2
12,nan,nan,0.9798966026815104,0.985500461911786,10,11,31,27,24,32,2,2
12,nan,nan,0.9798966026815104,0.985500461911786,10,11,31,27,24,32,2,2
