num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,12,14,41,39,24,27,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,18,20,42,41,43,46,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,24,26,48,48,66,69,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,30,32,56,52,93,96,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,36,38,62,64,124,127,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,42,44,71,67,159,162,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,48,50,66,73,198,201,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,54,56,79,80,241,244,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,67,77,100,117,288,291,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,93,98,140,155,339,342,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,113,109,132,167,394,397,2,1,36,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,12,14,41,39,24,27,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,18,20,42,41,43,46,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,24,26,48,48,66,69,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,30,32,56,52,93,96,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,36,38,64,64,124,127,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,42,44,71,67,159,162,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,48,50,66,73,198,201,2,1,36,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,12,14,41,39,24,27,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,18,20,42,41,43,46,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,24,26,48,48,66,69,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,30,32,56,52,93,96,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,36,38,62,64,124,127,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,42,44,71,67,159,162,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,48,50,66,73,198,201,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,54,56,79,80,241,244,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,69,74,115,114,288,291,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,89,88,153,147,339,342,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,133,108,192,167,394,397,2,1,36,0.0,0.0,0.0
