num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,21,26,35,51,21,26,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,44,47,51,69,42,43,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,68,70,92,77,61,70,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,107,119,110,116,101,110,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,139,154,127,111,119,140,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,181,189,105,149,169,175,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,216,211,173,154,203,225,2,2,42,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,220,257,141,170,228,256,2,2,42,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,272,304,138,160,290,311,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,335,354,185,185,338,381,2,2,42,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,348,403,212,250,429,432,2,1,36,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,18,26,35,51,21,26,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,42,44,56,58,42,43,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,59,72,72,80,61,70,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,110,121,102,122,101,110,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,138,158,106,120,119,140,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,175,187,123,141,169,175,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,208,232,151,170,203,225,2,2,42,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,217,260,139,146,228,256,2,2,42,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,294,285,159,182,290,311,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,320,336,168,186,338,381,2,2,42,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,357,350,225,241,429,432,2,1,36,0.0,0.0,0.0
