num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,42,68,57,112,29,30,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,56,84,53,125,50,56,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,62,78,62,125,75,90,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,68,72,65,125,104,132,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,94,119,103,197,137,182,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,112,150,111,225,174,240,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,116,162,89,256,215,306,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,116,120,89,197,260,380,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,154,168,148,279,309,462,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,184,209,144,331,362,552,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,190,212,170,379,419,650,2,1,36,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,42,70,58,112,29,30,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,56,84,53,125,50,56,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,68,78,65,125,75,90,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,68,72,65,125,104,132,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,98,126,88,192,137,182,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,106,132,110,197,174,240,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,120,126,112,197,215,306,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,116,120,89,197,260,380,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,138,168,118,284,309,462,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,164,200,143,331,362,552,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,202,233,143,379,419,650,2,1,36,0.0,0.0,0.0
