num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,4,10,17,20,6,24,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,14,18,22,11,41,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8,18,19,23,17,62,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,10,22,20,26,24,87,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,12,26,21,28,32,116,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,14,30,22,30,41,149,2,2,72,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,16,34,23,32,51,186,2,2,72,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,18,38,24,34,62,227,2,2,72,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,20,57,25,63,74,272,2,2,72,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,22,55,26,62,87,321,2,2,72,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,24,68,27,80,101,374,2,2,72,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,4,10,17,20,6,24,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,14,18,22,11,41,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8,18,19,23,17,62,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,10,22,20,26,24,87,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,12,26,21,28,32,116,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,14,30,22,30,41,149,2,2,72,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,16,34,23,32,51,186,2,2,72,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,18,38,24,34,62,227,2,2,72,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,20,57,25,63,74,272,2,2,72,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,22,85,26,78,87,321,2,2,72,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,24,68,27,80,101,374,2,2,72,0.0,0.0,0.0
