num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.0,0.0,0.0,0.0,39,39,87,87,0,1,1,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,30,68,48,116,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,42,84,54,129,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,54,78,60,129,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,66,72,66,129,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,78,102,72,191,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,90,132,78,201,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,102,126,84,201,3,1,216,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,30,39,75,87,3,1,216,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,30,68,48,116,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,42,84,54,129,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,54,78,60,129,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,66,72,66,129,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,78,110,72,163,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,90,135,78,213,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,102,144,84,233,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,114,120,90,201,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,142,170,122,282,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,170,203,158,320,3,1,216,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,30,39,75,87,3,1,216,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,30,67,48,125,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,42,84,54,129,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,54,78,60,129,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,66,72,66,129,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,78,105,72,177,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,90,132,78,201,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,102,126,84,201,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,114,120,90,201,3,1,216,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,30,39,68,80,3,1,216,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,30,65,44,126,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,42,84,50,125,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,54,78,56,125,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,66,72,62,125,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,78,138,68,197,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,90,135,74,236,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,102,165,80,233,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,114,120,86,197,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,148,150,119,258,3,1,216,0.0,0.0,0.0
