num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,1,5,4,9,2,20,3,4,84,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,1,7,5,11,2,35,3,4,84,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,2,9,6,13,5,54,3,4,84,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,3,11,6,15,9,77,3,4,84,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,3,13,7,17,9,104,3,4,84,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,3,15,7,19,9,135,3,4,84,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,4,17,8,21,14,170,3,4,84,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,4,19,8,23,14,209,3,4,84,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,5,46,9,55,20,252,3,4,84,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,5,50,9,68,20,299,3,4,84,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,6,42,10,75,27,350,3,4,84,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,1,5,4,9,2,20,3,4,84,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,1,7,5,11,2,35,3,4,84,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,2,9,6,13,5,54,3,4,84,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,3,11,6,15,9,77,3,4,84,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,3,13,7,17,9,104,3,4,84,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,3,15,7,19,9,135,3,4,84,0.0,0.0,0.0
