num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,2,19,12,32,2,21,3,3,108,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,28,15,26,8,26,3,3,108,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,6,32,15,24,8,35,3,3,108,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,8,24,18,21,12,44,3,3,108,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,14,48,18,34,22,50,3,3,78,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,16,47,21,37,18,56,3,4,109,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,16,55,31,35,15,60,3,5,110,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,28,40,18,24,43,72,3,3,108,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,26,66,18,30,42,85,3,3,108,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,20,68,28,31,29,75,3,4,109,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,18,86,28,52,27,103,3,4,79,0.0,0.0,0.0
