num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
8,0.0,0.0,0.0,0.0,7,14,18,37,3,4,234,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,15,20,35,55,3,4,234,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,20,25,50,57,3,4,234,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,24,33,54,69,3,4,234,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,36,43,79,106,3,4,234,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,40,49,67,111,3,4,234,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,47,56,88,100,3,4,234,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,49,63,92,122,3,4,234,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,51,78,98,115,3,4,234,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,61,77,141,135,3,4,234,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,7,17,26,33,3,4,234,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,15,22,43,58,3,4,234,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,20,25,56,58,3,4,234,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,21,29,49,77,3,4,234,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,27,40,66,93,3,4,234,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,40,43,82,98,3,4,234,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,46,59,81,102,3,4,234,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,61,70,91,119,3,4,234,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,65,69,107,128,3,4,234,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,65,69,125,148,3,4,234,0.0,0.0,0.0
