num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.0,0.0,0.0,0.0,4,11,15,24,2,2,42,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,15,25,29,37,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,32,37,42,50,2,2,42,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,44,56,49,73,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,69,69,77,99,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,76,103,58,88,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,93,121,69,114,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,131,143,83,100,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,166,165,101,116,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,168,189,114,133,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,203,227,121,156,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,213,235,126,116,2,1,36,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,4,11,15,28,2,2,42,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,15,21,32,37,2,2,42,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,32,40,43,68,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,47,52,57,69,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,62,67,74,83,2,2,42,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,85,105,80,79,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,107,118,85,120,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,119,147,67,91,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,153,176,93,104,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,168,187,133,164,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,217,228,113,112,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,260,267,175,173,2,1,36,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,4,11,15,24,2,2,42,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,18,21,32,38,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,32,35,44,47,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,59,62,61,66,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,56,78,53,87,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,82,95,66,94,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,105,115,68,74,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,139,152,96,110,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,149,167,93,122,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,179,204,101,107,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,180,220,138,135,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,203,247,109,131,2,1,36,0.0,0.0,0.0
