num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.0,0.0,0.0,0.0,4,11,12,28,2,2,72,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,8,19,15,31,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,15,23,25,32,2,3,73,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,16,26,18,21,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,20,24,18,27,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,24,37,18,30,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,34,47,29,31,2,4,74,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,35,53,25,32,2,3,73,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,36,40,18,18,2,2,72,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,40,62,18,35,2,3,73,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,67,85,32,42,2,2,72,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,48,81,18,29,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,10,26,15,32,3,3,108,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,14,32,18,29,3,3,108,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,21,34,21,27,3,4,109,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,22,43,15,33,3,3,108,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,26,50,15,27,3,3,108,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,34,59,28,32,3,5,110,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,35,53,23,37,3,4,109,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,38,68,18,41,3,3,108,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,51,61,24,31,3,4,109,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,46,78,18,37,3,3,78,0.0,0.0,0.0
