num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.0,0.0,0.0,0.0,0,6,4,22,3,4,84,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,27,36,48,69,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,80,87,108,122,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,152,165,175,180,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,244,233,188,214,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,363,374,302,228,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,501,535,318,358,3,1,216,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0,6,4,22,3,4,84,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,4,10,10,34,3,4,84,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,8,14,10,46,3,4,84,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,12,18,16,58,3,4,84,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,16,22,16,70,3,4,84,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,20,26,22,82,3,4,84,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,24,30,22,94,3,4,84,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,28,34,28,106,3,4,84,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,32,38,28,118,3,4,84,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,36,69,34,166,3,4,84,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,40,73,34,183,3,4,84,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,44,79,40,206,3,4,84,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0,6,4,22,3,4,84,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,4,10,10,34,3,4,84,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,8,14,10,46,3,4,84,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,12,18,16,58,3,4,84,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,16,22,16,70,3,4,84,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,20,26,22,82,3,4,84,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,24,30,22,94,3,4,84,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,28,34,28,106,3,4,84,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,32,38,28,118,3,4,84,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,36,53,34,150,3,4,84,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,40,58,34,165,3,4,84,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,44,74,40,187,3,4,84,0.0,0.0,0.0
