num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,1,4,12,16,5,20,2,3,48,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,3,6,15,27,9,35,2,3,48,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,3,8,18,29,14,54,2,3,48,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,4,10,20,36,20,77,2,3,48,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,1,4,12,16,5,20,2,3,48,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,2,6,15,27,9,35,2,3,48,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,4,8,16,29,14,54,2,3,48,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,5,10,24,36,20,77,2,3,48,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,2,4,12,16,5,20,2,3,48,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,2,6,15,27,9,35,2,3,48,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,4,8,16,29,14,54,2,3,48,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,5,10,24,36,20,77,2,3,48,0.0,0.0,0.0
6,0.9956443570626606,0.980460494431036,0.9509525171924063,0.9117500000000001,1,4,14,20,0,0,2,3,48,168.93710587199894,3.598322616999212,69.2610602180066
8,0.9789204432739478,0.8920700269108823,0.9276182540600615,0.7609000000000001,3,6,16,22,0,0,2,3,48,284.96588702900044,3.490891401997942,42.513068407999526
10,0.9704132030627833,0.584839083803124,0.9079401072320938,0.4483000000000009,3,8,19,29,0,0,2,3,48,308.8808035379989,3.5197266220056918,43.890135098998144
12,0.9074998010113886,0.43404372115725753,0.8125275820860705,0.3706000000000039,5,10,19,33,0,0,2,3,48,305.45700507400034,3.5133660809951834,20.947355461998086
