num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,4,18,16,30,5,21,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,28,18,25,9,26,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8,26,21,25,14,35,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,10,24,19,21,16,44,2,2,72,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,4,21,17,27,5,21,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,26,18,28,9,26,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8,26,19,25,12,35,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,10,24,19,21,16,44,2,2,72,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,4,18,17,30,5,21,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,28,16,22,8,26,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8,32,19,29,12,35,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,10,24,21,21,17,44,2,2,72,0.0,0.0,0.0
6,0.9874223778965959,0.9642704835400079,0.9117837123411128,0.8373,4,18,17,30,0,0,2,2,72,588.6328570410042,3.2318579010025132,19.185022507997928
8,0.9390534627556759,0.9351290083099777,0.8364576313986208,0.8280000000000001,6,25,16,30,0,0,2,2,72,399.84985351700016,3.219011691006017,20.62259689700295
10,0.9230146014517171,0.43324296279636443,0.7998882806168267,0.4317999999999991,8,26,21,25,0,0,2,2,72,410.86059596500127,3.684967108994897,52.06952582200029
12,0.8764816944383026,0.6753336084203843,0.7687538595444902,0.5719500000000157,10,24,21,21,0,0,2,2,72,482.63911220099544,3.696372981998138,69.83082498000294
