num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,29,43,55,75,26,30,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,40,56,50,86,45,56,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,52,63,74,105,87,90,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,44,48,55,85,103,132,2,1,36,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,29,45,52,79,29,30,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,40,56,60,86,55,56,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,48,52,59,86,74,90,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,44,48,55,85,95,132,2,1,36,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,29,43,52,75,26,30,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,40,56,53,86,45,56,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,48,52,69,86,74,90,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,44,48,65,85,126,132,2,1,36,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,30,43,51,75,29,30,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,40,56,57,86,53,56,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,42,52,56,86,74,90,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,44,48,55,85,103,132,2,1,36,0.0,0.0,0.0
6,0.9561780665496352,0.7995198808331473,0.8496830295498955,0.6593,29,43,52,75,0,0,2,1,36,191.90931282199745,3.54138344200328,159.36151933999645
8,0.8297268462193006,0.7608408342030022,0.6737057439477203,0.5825000000000009,40,56,60,86,0,0,2,1,36,189.55410965099873,3.243462703001569,165.782117251998
10,0.7209381815547375,0.30811991058305493,0.5979728001716436,0.33684999999999354,42,52,56,86,0,0,2,1,36,178.11849866100238,3.4337367879998055,171.32776190499862
12,0.38157334366808493,0.3506783595004992,0.4981008037955851,0.3612999999999873,44,48,56,85,0,0,2,1,36,180.8984338809969,3.690581797993218,178.2057509130027
