num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,22,27,58,63,2,1
4,22,27,58,63,2,1
4,21,27,51,63,2,1
6,39,52,76,87,2,1
6,42,50,76,82,2,1
6,40,50,75,81,2,1
8,49,60,66,81,2,1
8,46,60,63,81,2,1
8,52,60,57,81,2,1
10,40,48,55,69,2,1
10,40,48,55,69,2,1
10,40,48,55,69,2,1
12,34,36,52,57,2,1
12,34,36,48,57,2,1
12,34,36,47,57,2,1
14,59,63,76,100,2,1
14,58,81,92,123,2,1
14,57,81,83,116,2,1
16,82,84,86,105,2,1
16,82,84,87,105,2,1
16,79,84,82,105,2,1
18,64,72,74,93,2,1
18,70,111,76,129,2,1
18,64,72,73,93,2,1
20,58,60,63,81,2,1
20,58,60,73,81,2,1
20,58,60,71,81,2,1
22,97,102,123,158,2,1
22,98,105,153,132,2,1
22,91,102,128,156,2,1
24,103,108,142,187,2,1
24,100,129,154,188,2,1
24,103,108,159,183,2,1
