num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,0,6,8,17,3,4
4,0,6,8,17,3,4
4,0,6,8,17,3,4
6,15,24,29,45,3,1
6,13,30,23,54,3,1
6,15,25,28,40,3,1
8,42,46,46,65,3,1
8,40,53,46,60,3,1
8,40,45,60,70,3,1
10,58,64,73,82,3,1
10,61,72,68,67,3,1
10,64,69,72,68,3,1
12,92,98,89,110,3,1
12,93,97,75,99,3,1
12,103,104,87,91,3,1
14,122,137,101,123,3,1
14,129,131,97,103,3,1
14,124,140,102,122,3,1
16,141,177,125,135,3,1
16,155,174,102,119,3,1
16,164,183,109,122,3,1
18,200,214,129,150,3,1
18,196,217,134,157,3,1
18,199,221,132,142,3,1
20,224,244,147,165,3,1
20,226,248,156,173,3,1
20,199,239,160,162,3,1
22,255,293,181,191,3,1
22,263,280,167,175,3,1
22,277,272,195,184,3,1
24,343,354,201,237,3,1
24,314,353,207,221,3,1
24,305,338,206,217,3,1
