num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,7,9,28,31,12,24,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,11,13,29,33,22,41,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,15,17,40,40,60,62,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,19,21,41,44,85,87,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,23,25,50,54,114,116,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,27,29,60,58,147,149,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,31,33,62,64,184,186,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,35,37,71,71,225,227,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,48,56,115,122,270,272,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,59,63,127,145,319,321,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,68,97,161,151,372,374,2,1,36,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,7,9,28,31,12,24,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,11,13,29,33,22,41,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,15,17,40,40,60,62,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,19,21,41,44,85,87,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,23,25,50,54,114,116,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,27,29,60,58,147,149,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,31,33,62,64,184,186,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,35,37,71,71,225,227,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,54,56,118,102,270,272,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,55,69,131,123,319,321,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,62,86,155,143,372,374,2,1,36,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,7,9,28,31,12,24,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,11,13,29,33,22,41,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,15,17,40,40,60,62,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,19,21,41,44,85,87,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,23,25,50,54,114,116,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,27,29,60,58,147,149,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,31,33,62,64,184,186,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,35,37,71,71,225,227,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,48,50,104,107,270,272,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,64,63,143,136,319,321,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,65,67,139,154,372,374,2,1,36,0.0,0.0,0.0
