num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,13,20,28,41,11,22,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,30,39,40,64,23,41,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,56,69,58,92,40,66,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,103,108,78,145,60,97,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,151,163,94,187,84,134,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,189,215,114,234,112,177,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,243,277,136,259,144,226,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,301,358,156,315,180,281,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,368,418,166,363,220,342,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,467,458,204,388,264,409,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,579,598,255,488,312,482,2,1,36,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,13,20,28,41,11,22,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,34,37,45,76,23,41,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,55,68,47,105,40,66,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,100,111,73,152,60,97,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,128,144,95,179,84,134,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,188,201,111,213,112,177,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,259,271,132,267,144,226,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,322,342,143,343,180,281,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,386,423,190,352,220,342,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,456,501,206,425,264,409,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,601,592,251,550,312,482,2,1,36,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,13,20,23,41,11,22,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,32,41,45,73,23,41,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,59,67,56,106,40,66,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,96,107,79,143,60,97,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,139,154,93,183,84,134,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,178,199,116,219,112,177,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,234,243,150,236,144,226,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,302,346,152,291,180,281,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,353,451,187,349,220,342,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,471,512,207,427,264,409,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,542,573,209,475,312,482,2,1,36,0.0,0.0,0.0
