num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,8,10,18,20,12,24,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,12,14,19,22,22,41,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,16,18,23,23,60,62,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,20,22,26,26,85,87,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,24,26,28,28,114,116,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,28,30,30,30,147,149,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,32,34,32,32,184,186,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,36,38,34,34,225,227,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,59,62,66,59,270,272,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,65,70,69,78,319,321,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,69,86,84,71,372,374,2,1,36,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,8,10,18,20,12,24,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,12,14,19,22,22,41,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,16,18,23,23,60,62,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,20,22,26,26,85,87,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,24,26,28,28,114,116,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,28,30,30,30,147,149,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,32,34,32,32,184,186,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,36,38,34,34,225,227,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,53,63,65,54,270,272,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,51,67,60,70,319,321,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,75,65,79,81,372,374,2,1,36,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,8,10,18,20,12,24,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,12,14,19,22,22,41,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,16,18,23,23,60,62,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,20,22,26,26,85,87,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,24,26,28,28,114,116,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,28,30,30,30,147,149,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,32,34,32,32,184,186,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,36,38,34,34,225,227,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,52,48,64,45,270,272,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,65,55,72,63,319,321,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,63,87,86,86,372,374,2,1,36,0.0,0.0,0.0
