num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,8,10,19,25,12,24,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,12,14,24,33,22,41,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,16,18,27,41,60,62,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,20,22,32,49,85,87,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,24,26,37,57,114,116,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,28,30,42,65,147,149,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,32,34,47,73,184,186,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,36,38,52,81,225,227,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,52,57,97,102,270,272,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,53,79,96,119,319,321,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,81,80,107,131,372,374,2,1,36,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,8,10,19,25,12,24,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,12,14,24,33,22,41,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,16,18,27,41,60,62,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,20,22,32,49,85,87,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,24,26,37,57,114,116,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,28,30,42,65,147,149,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,32,34,47,73,184,186,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,36,38,52,81,225,227,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,58,63,97,105,270,272,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,53,70,102,116,319,321,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,72,65,117,121,372,374,2,1,36,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,8,10,19,25,12,24,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,12,14,24,33,22,41,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,16,18,27,41,60,62,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,20,22,32,49,85,87,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,24,26,37,57,114,116,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,28,30,42,65,147,149,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,32,34,47,73,184,186,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,36,38,52,81,225,227,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,56,51,92,99,270,272,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,56,70,102,113,319,321,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,83,68,127,124,372,374,2,1,36,0.0,0.0,0.0
