num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,1,7,10,15,2,14,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,1,7,10,14,2,14,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,3,10,12,18,9,27,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,2,11,11,18,5,20,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,2,7,11,14,5,20,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,19,26,33,36,35,65,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,11,16,20,36,20,44,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,12,22,20,31,27,54,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,14,17,24,36,35,65,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,17,24,34,32,35,65,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,24,27,36,52,65,104,3,1,216,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,1,7,10,14,2,14,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,1,5,10,12,2,14,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,3,15,12,24,9,27,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,2,11,11,16,5,20,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,2,11,11,22,5,20,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,19,22,33,35,35,65,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,11,18,18,34,20,44,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,15,18,23,41,27,54,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,16,22,25,41,35,65,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,12,24,25,35,35,65,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,24,31,42,45,65,104,3,1,216,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,1,7,10,15,2,14,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,1,7,10,15,2,14,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,3,15,12,26,9,27,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,2,7,11,19,5,20,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,2,9,11,18,5,20,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,14,22,29,35,35,65,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,11,16,19,29,20,44,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,13,25,21,44,27,54,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,17,15,30,33,35,65,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,14,21,25,33,35,65,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,24,27,39,56,65,104,3,1,216,0.0,0.0,0.0
