num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,2,5,5,9,5,20,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,4,7,6,11,8,35,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,6,9,6,13,14,54,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,8,11,7,15,20,77,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,10,13,7,17,28,104,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,12,15,8,19,36,135,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,14,17,8,21,46,170,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,16,19,9,23,56,209,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,18,41,9,56,68,252,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,32,60,20,61,80,299,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,30,62,20,89,94,350,3,1,216,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,2,5,5,9,5,20,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,4,7,6,11,8,35,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,6,9,6,13,14,54,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,8,11,7,15,20,77,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,10,13,7,17,28,104,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,12,15,8,19,36,135,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,14,17,8,21,46,170,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,16,19,9,23,56,209,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,18,40,9,62,68,252,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,30,29,25,53,80,299,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,32,44,19,70,94,350,3,1,216,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,2,5,5,9,5,20,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,4,7,6,11,8,35,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,6,9,6,13,14,54,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,8,11,7,15,20,77,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,10,13,7,17,28,104,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,12,15,8,19,36,135,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,14,17,8,21,46,170,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,16,19,9,23,56,209,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,18,26,9,41,68,252,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,32,48,15,73,80,299,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,49,71,26,95,94,350,3,1,216,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,2,5,5,9,5,20,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,4,7,6,11,8,35,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,6,9,6,13,14,54,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,8,11,7,15,20,77,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,10,13,7,17,28,104,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,12,15,8,19,36,135,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,14,17,8,21,46,170,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,16,19,9,23,56,209,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,18,48,9,67,68,252,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,32,56,15,72,80,299,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,38,46,27,85,94,350,3,1,216,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,2,5,5,9,5,20,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,4,7,6,11,8,35,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,6,9,6,13,14,54,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,8,11,7,15,20,77,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,10,13,7,17,28,104,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,12,15,8,19,36,135,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,14,17,8,21,46,170,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,16,19,9,23,56,209,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,18,40,9,49,68,252,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,33,35,21,55,80,299,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,34,47,20,71,94,350,3,1,216,0.0,0.0,0.0
