num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,10,22,20,45,15,24,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,27,40,40,62,31,41,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,51,59,58,81,51,61,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,61,72,64,86,79,95,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,87,94,66,100,100,108,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,117,123,73,98,136,147,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,128,146,89,114,168,182,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,150,184,139,176,207,223,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,196,221,112,156,242,272,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,193,218,114,123,257,286,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,248,238,130,152,334,358,3,1,216,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,10,22,20,42,15,24,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,27,38,44,57,31,41,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,44,53,55,74,51,61,3,1,216,0.0,0.0,0.0
