num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,21,26,34,48,20,24,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,24,45,34,59,29,43,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,45,54,46,54,51,61,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,46,72,40,51,55,95,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,68,90,44,67,81,109,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,80,94,48,69,95,133,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,104,114,66,57,125,152,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,99,120,56,105,134,208,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,119,149,63,76,148,210,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,144,171,72,103,190,249,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,165,181,65,69,203,281,3,1,216,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,19,26,31,49,20,24,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,24,45,32,56,29,43,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,43,57,47,73,51,61,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,51,74,57,57,55,95,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,73,78,48,70,81,109,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,77,98,51,67,95,133,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,95,120,65,79,125,152,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,104,130,56,93,134,208,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,118,146,64,104,148,210,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,135,167,63,96,190,249,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,159,191,67,84,203,281,3,1,216,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,19,26,34,49,20,24,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,24,45,32,48,29,43,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,40,56,38,51,51,61,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,46,72,40,55,55,95,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,78,98,59,73,81,109,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,82,102,66,84,95,133,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,98,115,73,57,125,152,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,101,133,65,87,134,208,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,124,145,64,83,148,210,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,145,171,75,77,190,249,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,171,174,70,72,203,281,3,1,216,0.0,0.0,0.0
