num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,14,18,29,37,20,30,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,22,26,41,49,42,56,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,30,34,53,61,72,90,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,38,42,65,73,110,132,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,46,50,77,85,156,182,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,54,58,89,97,210,240,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,62,66,101,109,272,306,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,70,74,113,121,342,380,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,78,108,125,175,420,462,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,100,130,199,202,506,552,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,130,146,225,220,600,650,3,1,216,0.0,0.0,0.0
