num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,42,68,67,112,28,30,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,57,84,77,126,52,56,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,78,78,79,126,79,90,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,66,72,65,125,110,132,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,109,104,110,168,153,182,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,111,132,116,198,203,240,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,117,162,91,256,250,306,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,114,120,90,197,301,380,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,139,171,130,266,370,462,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,170,201,153,324,446,552,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,192,212,270,366,513,650,3,1,216,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,42,68,68,112,28,30,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,66,84,66,126,52,56,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,66,78,66,126,79,90,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,66,72,65,125,110,132,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,109,138,110,198,153,182,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,115,150,143,229,203,240,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,114,162,91,254,250,306,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,114,120,90,197,301,380,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,151,150,165,260,370,462,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,164,182,161,310,446,552,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,194,231,271,388,513,650,3,1,216,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,42,68,67,112,28,30,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,63,84,91,126,52,56,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,66,78,66,126,79,90,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,66,72,65,125,110,132,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,87,123,89,194,153,182,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,119,150,116,227,203,240,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,120,126,94,198,250,306,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,114,120,90,197,301,380,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,154,181,145,258,370,462,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,165,182,166,304,446,552,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,216,212,216,375,513,650,3,1,216,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,42,67,58,124,28,30,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,63,84,78,126,52,56,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,66,78,66,126,79,90,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,66,72,65,125,110,132,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,94,123,141,193,153,182,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,114,137,91,213,203,240,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,127,144,116,226,250,306,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,114,120,90,197,301,380,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,148,188,144,309,370,462,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,166,209,160,321,446,552,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,193,212,199,364,513,650,3,1,216,0.0,0.0,0.0
