num_qubits,num_fragments,num_vgates,num_threads,time
30,1,2,1,0.20813196700328263
30,2,2,1,11.823872996999853
30,3,2,1,10.13087695699869
30,1,2,2,0.20198201300081564
30,2,2,2,11.476931469998817
30,3,2,2,3.9338375900006213
30,1,2,4,0.19852885200089077
30,2,2,4,0.263992585001688
30,3,2,4,0.043071250001958106
30,1,4,1,391.8642030450028
30,2,4,1,412.7587651499998
30,3,4,1,329.8287228029985
30,1,4,2,404.7271572779973
30,2,4,2,381.81205902799775
30,3,4,2,128.9712400770004
30,1,4,4,404.3894411069996
30,2,4,4,27.590311432999442
30,3,4,4,2.9958092119995854
