num_qubits,fid,fid_base,esp,esp_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
10,nan,nan,0.9900453260570071,0.9792095578996781,0,0,26,34,14,54,nan,2,12,nan,nan,nan
12,nan,nan,0.9922268262532191,0.9749085300871784,0,0,24,44,9,77,nan,3,48,nan,nan,nan
14,nan,nan,0.992226826253219,0.9706263938797439,0,0,27,43,14,104,nan,3,48,nan,nan,nan
16,nan,nan,0.9922268262532191,0.9663630662988962,0,0,26,53,9,135,nan,4,84,nan,nan,nan
18,nan,nan,0.9922268262532191,0.9621184647306281,0,0,26,63,14,170,nan,4,84,nan,nan,nan
20,nan,nan,0.9900453260570071,0.9578925069238009,0,0,27,71,14,209,nan,4,84,nan,nan,nan
10,nan,nan,0.9855981341242595,0.9694618460289245,0,0,38,60,17,62,nan,2,72,nan,nan,nan
12,nan,nan,0.9888574795653566,0.963081546276905,0,0,34,54,11,87,nan,3,1368,nan,nan,nan
14,nan,nan,0.9888574795653566,0.9567432370633403,0,0,40,60,17,116,nan,3,1368,nan,nan,nan
16,nan,nan,0.9888574795653566,0.9504466420367428,0,0,36,73,11,149,nan,4,2664,nan,nan,nan
18,nan,nan,0.9888574795653566,0.9441914866643735,0,0,41,82,17,186,nan,4,2664,nan,nan,nan
20,nan,nan,0.9855981341242595,0.9379774982202694,0,0,40,90,17,227,nan,4,2664,nan,nan,nan
20,nan,nan,0.9855981341242595,0.9379774982202694,0,0,40,90,17,227,nan,4,2664,nan,nan,nan
22,nan,nan,0.9888574795653566,0.9318044057733534,0,0,40,104,17,272,nan,5,3960,nan,nan,nan
24,nan,nan,0.9888574795653566,0.9256719401756213,0,0,40,119,17,321,nan,5,3960,nan,nan,nan
26,nan,nan,0.9888574795653566,0.9195798340504068,0,0,39,120,17,374,nan,6,5256,nan,nan,nan
