num_qubits,fid,fid_base,esp,esp_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
20,nan,nan,0.942875997310135,nan,0,nan,71,nan,209,nan,nan,1,1.0,nan,nan,nan
22,nan,nan,0.9691740916920639,nan,0,nan,45,nan,65,nan,nan,2,12,nan,nan,nan
24,nan,nan,0.9658834611184467,nan,0,nan,47,nan,77,nan,nan,2,12,nan,nan,nan
26,nan,nan,0.9637598791871814,nan,0,nan,43,nan,90,nan,nan,2,12,nan,nan,nan
28,nan,nan,0.9601995139787679,nan,0,nan,49,nan,104,nan,nan,2,12,nan,nan,nan
30,nan,nan,0.956843660795791,nan,0,nan,59,nan,119,nan,nan,2,12,nan,nan,nan
40,nan,nan,0.9427817097104041,nan,0,nan,75,nan,209,nan,nan,2,12,nan,nan,nan
50,nan,nan,0.8606631491712585,nan,0,nan,179,nan,1274,nan,nan,1,1.0,nan,nan,nan
60,nan,nan,0.8338825866687385,nan,0,nan,219,nan,1829,nan,nan,1,1.0,nan,nan,nan
70,nan,nan,0.8094719466607936,nan,0,nan,258,nan,2484,nan,nan,1,1.0,nan,nan,nan
80,nan,nan,0.7853045431983812,nan,0,nan,289,nan,3239,nan,nan,1,1.0,nan,nan,nan
