num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.9987809238293701,0.9982876061174338,0.97465,0.9676,2,2,15,12,0,1,1,18.209077448002063,0.0005262939957901835,8.713331755017862
6,0.9973627673900672,0.9954881803144295,0.967687045,0.954425,3,4,15,18,1,2,12,51.89642237202497,3.367367053986527,13.009517383005004
8,0.9894644880238328,0.9859635003583548,0.951090455625,0.925675,5,6,18,27,1,2,12,59.68935486697592,3.1600135450134985,14.775072866003029
10,0.971727234022903,0.9617464181983182,0.9438678652153282,0.901925,6,8,15,31,2,3,48,110.45430551999016,3.1648289629956707,11.49135564500466
12,0.9266785796224847,0.9158976732059938,0.9079223778574375,0.865925,8,10,15,34,2,3,48,104.85939551203046,3.211794529983308,25.408464711974375
4,0.0,0.0,0.0,0.0,2,2,15,12,0,1,1,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,3,4,15,19,1,2,12,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,5,6,15,27,1,2,12,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,6,8,15,31,2,3,48,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,8,10,18,34,2,3,48,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,9,12,16,36,3,4,84,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,11,18,16,63,3,4,84,0.0,0.0,0.0
14,0.8873298922844418,0.8583100234765693,0.8785154275688402,0.8289250000000008,9,12,16,36,3,4,84,161.73690419300692,4.075674925989006,95.2504365320201
16,0.8480366862031883,0.81340932661307,0.8611357534709608,0.8094250000000005,11,19,16,58,3,4,84,180.96450068696868,6.249118926003575,424.79234132898273
