num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.0,0.0,0.0,0.0,6,6,18,18,0,1,1,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,20,20,40,40,0,1,1,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,36,42,33,69,1,2,12,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,58,74,59,107,1,2,12,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,90,103,72,132,1,2,12,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,135,149,93,176,1,2,12,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,6,6,18,18,0,1,1,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,18,20,39,40,0,1,1,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,35,39,43,63,1,2,12,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,60,76,59,109,1,2,12,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,96,105,72,143,1,2,12,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,138,139,91,177,1,2,12,0.0,0.0,0.0
