num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.0,0.0,0.0,0.0,11,11,18,18,0,1,1,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,8,19,15,34,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,22,23,28,29,0,2,2,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,14,26,15,21,3,3,108,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,16,40,15,35,4,4,144,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,30,42,28,29,2,4,74,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,29,46,28,34,3,4,109,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,11,11,28,29,0,1,1,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,8,20,15,31,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,15,21,25,28,2,3,73,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,14,26,15,21,3,3,108,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,18,24,18,24,3,3,108,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,25,41,29,49,3,4,109,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,24,44,18,27,4,4,144,0.0,0.0,0.0
