num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.0,0.0,0.0,0.0,6,6,18,18,0,1,1,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,10,10,20,20,0,1,1,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,12,14,18,22,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,16,18,19,24,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,20,22,20,26,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,24,29,21,36,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,26,39,20,54,4,3,1368,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,6,6,18,18,0,1,1,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,10,10,20,20,0,1,1,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,12,14,18,22,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,16,18,19,24,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,20,22,20,26,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,24,29,21,36,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,26,39,20,54,4,3,1368,0.0,0.0,0.0
