num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.8913923353009809,0.9132115177553503,0.89165,0.9133,3,3,7,7,0,1,1,0.8574637200217694,0.0003542620106600225,0.9320947119849734
6,0.8517501687195009,0.8600881671557394,0.8460906210670731,0.8605499999999999,4,5,6,9,1,2,12,5.268286017992068,4.749378230015282,0.8624586089863442
8,0.780385943134951,0.8105021224541002,0.7826478218047752,0.81065,6,7,7,11,1,2,12,5.787007980979979,5.618758612021338,1.084361382003408
10,0.7456199855650282,0.7389219479479817,0.7473217789497217,0.7393000000000004,7,9,7,13,2,3,48,27.327682642033324,4.839546422997955,1.0034208139986731
12,0.6897386868043249,0.6893452977751846,0.6919076370248676,0.690100000000001,9,11,7,15,2,3,48,29.80682501103729,4.926418693037704,2.4469409119919874
14,0.6551384788895076,0.6394628333865146,0.6566762868138208,0.6406500000000015,10,14,6,23,3,4,84,57.43786005000584,7.665288299962413,28.177517946984153
4,0.8829222855980197,0.9180429113099896,0.8829499999999999,0.9180999999999999,3,3,7,7,0,1,1,1.194289946986828,0.0007024140213616192,1.2524260839563794
6,0.8320494972867888,0.8580426366016706,0.8311400792924528,0.8581,4,5,6,9,1,2,12,7.3426114820176736,4.265206903975923,1.3554897300200537
8,0.7728553889774484,0.8090800207572123,0.774074929525,0.8094000000000001,6,7,7,11,1,2,12,7.554889980994631,4.201810814964119,1.445745511970017
10,0.723028568175714,0.7338396556416816,0.726022567703743,0.7340500000000005,7,9,7,13,2,3,48,29.844892321969382,3.1744084340170957,1.2290853390004486
12,0.6820603066871574,0.6882748039368263,0.6819606503725348,0.6889000000000008,9,11,7,15,2,3,48,29.648810693004634,3.1757342069759034,2.445215179992374
4,0.8859278142028562,0.9158378708670317,0.88595,0.91585,3,3,7,7,0,1,1,0.895555149007123,0.00015998102026060224,0.9411116470000707
6,0.8339508653684938,0.8564938836326306,0.834655279175532,0.8564499999999999,4,5,6,9,1,2,12,5.7264654279570095,3.1949028029921465,1.0091180099989288
8,0.7765013959230415,0.8145982091351536,0.7760358401284246,0.8140249999999999,6,7,7,11,1,2,12,5.5471791659947485,3.397219431004487,1.1297528800205328
10,0.7412519287675774,0.737536530749593,0.7368633338670034,0.7365500000000003,7,9,7,13,2,3,48,27.647770343988668,3.1999293419648893,1.2853846439975314
12,0.6960102831886369,0.6877096039722972,0.6899367000340039,0.68645,9,11,7,15,2,3,48,30.30178902501939,3.2416770400013775,2.6340599439572543
14,0.6814286983477454,0.6370056503223999,0.6705202408368782,0.6358250000000005,10,15,6,33,3,4,84,56.618184880004264,3.7984373590443283,29.578134951007087
4,0.8821996042884116,0.9126419703192171,0.8822,0.91265,3,3,7,7,0,1,1,26.77578474499751,0.00015362194972112775,27.242966627993155
6,0.8380290151536728,0.8606559311359858,0.8345576976598836,0.860425,4,5,6,9,1,2,12,56.53873470204417,3.1798737340141088,8.236929813981988
