num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.0,0.0,0.0,0.0,8,8,34,29,0,1,1,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,20,14,68,35,0,1,1,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,17,20,43,45,3,2,432,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,23,26,49,57,3,2,432,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,44,32,75,68,3,2,432,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,64,45,95,85,3,2,432,0.0,0.0,0.0
4,0.9835859441533973,0.9915248685629834,0.92005,0.93925,8,8,35,29,0,1,1,0.7511743729701266,2.1500978618860245e-05,0.526881115976721
6,0.9585418813974929,0.9652472879115712,0.857575,0.874625,20,14,68,35,0,1,1,1.0204312870046124,2.1070009097456932e-05,0.5626548569416627
8,0.9338466883064647,0.9228633849786357,0.8437465122214675,0.832575,17,20,43,45,3,2,432,603.7341223749099,0.06033360003493726,0.6863575130701065
10,0.8884129965673646,0.8794164505973028,0.7980388371121065,0.7886500000000001,23,26,49,57,3,2,432,793.4510402469896,0.10846132005099207,0.6864138150122017
12,0.8356758329738415,0.8064924951444499,0.7510045420894714,0.7320000000000001,44,32,79,68,3,2,432,1089.072878709063,0.1926707859383896,0.9838031309191138
14,0.7469956240022367,0.7654628430751195,0.7101631552598746,0.7211250000000049,64,45,89,85,3,2,432,1366.3819537559757,0.3904771999223158,8.061235736007802
