num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.0,0.0,0.0,0.0,6,6,18,18,0,1,1,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,13,10,28,20,0,1,1,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,12,14,18,22,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,16,18,19,24,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,26,22,28,26,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,36,29,37,36,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,29,39,28,52,4,3,1368,0.0,0.0,0.0
4,0.8444844484448445,0.8887388738873887,0.84445,0.8887,6,6,18,18,0,1,1,4.479341682046652,2.8064008802175522e-05,0.5154464519582689
6,0.7571088298173753,0.7907293419157223,0.7542500000000001,0.7877500000000001,13,10,28,20,0,1,1,0.5545470518991351,2.3073982447385788e-05,0.5264407520880923
8,0.7018282973671583,0.7246551291698018,0.7014856913095238,0.7239249999999999,12,14,18,22,2,2,72,59.945632158080116,0.02330519608221948,0.5408875340363011
10,0.6694264964693885,0.6815158614781588,0.6655317706755779,0.6695250000000006,16,18,19,24,2,2,72,74.9191380609991,0.027344481903128326,0.5837863159831613
12,0.5935102566707787,0.6367650021250979,0.5880347134684766,0.6326500000000015,26,22,28,26,2,2,72,96.84364523401018,0.03987071698065847,0.8409821160603315
14,0.4950807448896494,0.5635796790350609,0.49527822353136397,0.5622000000000007,36,29,37,36,2,2,72,114.11008960905019,0.03764386894181371,4.879080986022018
