num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,3,7,10,15,9,14,1,3,13,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,3,7,10,16,9,14,1,5,15,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,9,11,19,25,20,27,1,5,15,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,9,9,18,23,20,20,0,7,7,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,9,11,17,20,20,20,0,9,9,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,12,18,24,42,27,65,4,10,1325,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,3,8,10,17,9,14,1,3,13,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,3,7,10,15,9,14,1,5,15,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,11,11,21,20,20,27,1,5,15,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,11,9,19,18,20,20,0,7,7,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,9,11,18,17,20,20,0,9,9,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,3,7,10,15,9,14,1,3,13,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,3,7,10,15,9,14,1,5,15,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,11,11,21,20,20,27,1,5,15,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,9,9,18,17,20,20,0,7,7,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,11,9,19,17,20,20,0,9,9,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,3,5,10,12,9,14,1,3,13,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,3,7,10,15,9,14,1,5,15,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,9,11,27,20,20,27,1,5,15,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,9,11,19,19,20,20,0,7,7,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,9,11,19,16,20,20,0,9,9,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,12,22,24,49,27,65,4,10,1325,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,3,7,10,17,9,14,1,3,13,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,3,5,10,20,9,14,1,5,15,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,11,11,22,25,20,27,1,5,15,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,9,11,18,17,20,20,0,7,7,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,7,9,19,17,20,20,0,9,9,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,10,20,27,39,27,65,4,10,1325,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,3,7,10,15,9,14,1,3,13,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,3,7,10,14,9,14,1,5,15,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,9,11,18,28,20,27,1,5,15,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,7,9,19,17,20,20,0,7,7,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,9,9,18,17,20,20,0,9,9,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,12,22,23,38,27,65,4,10,1325,0.0,0.0,0.0
