num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,2,5,7,9,5,20,1,2,12,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,3,7,8,11,9,35,1,2,12,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,4,9,9,13,14,54,1,2,12,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,6,11,16,15,20,77,1,2,12,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,10,16,20,21,27,104,1,2,12,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,8,20,11,39,20,135,2,3,48,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,2,5,7,9,5,20,1,2,12,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,3,7,8,11,9,35,1,2,12,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,4,9,9,13,14,54,1,2,12,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,8,11,16,15,20,77,1,2,12,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,10,17,20,29,27,104,1,2,12,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,2,5,7,9,5,20,1,2,12,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,3,7,8,11,9,35,1,2,12,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,4,9,9,13,14,54,1,2,12,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,8,11,14,15,20,77,1,2,12,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,10,14,20,26,27,104,1,2,12,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,2,5,7,9,5,20,1,2,12,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,3,7,8,11,9,35,1,2,12,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,4,9,9,13,14,54,1,2,12,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,6,11,16,15,20,77,1,2,12,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,10,14,20,24,27,104,1,2,12,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,6,24,14,46,20,135,2,3,48,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,2,5,7,9,5,20,1,2,12,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,3,7,8,11,9,35,1,2,12,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,4,9,9,13,14,54,1,2,12,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,8,11,16,15,20,77,1,2,12,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,10,15,20,32,27,104,1,2,12,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,8,18,11,42,20,135,2,3,48,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,2,5,7,9,5,20,1,2,12,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,3,7,8,11,9,35,1,2,12,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,4,9,9,13,14,54,1,2,12,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,6,11,16,15,20,77,1,2,12,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,10,14,20,26,27,104,1,2,12,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,6,18,14,42,20,135,2,3,48,0.0,0.0,0.0
