num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,4,9,28,28,6,24,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,13,29,36,11,41,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8,17,37,42,17,62,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,13,21,54,50,24,87,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,18,28,70,68,32,116,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,13,38,57,96,24,149,4,3,1368,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,4,9,28,28,6,24,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,13,31,36,11,41,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8,17,37,42,17,62,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,13,21,54,50,24,87,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,18,28,70,68,32,116,2,2,72,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,4,9,28,28,6,24,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,13,29,36,11,41,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8,17,37,42,17,62,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,13,21,54,50,24,87,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,18,28,70,68,32,116,2,2,72,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,4,9,28,28,6,24,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,13,29,36,11,41,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8,17,37,42,17,62,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,13,21,54,50,24,87,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,18,28,70,71,32,116,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,13,38,53,96,24,149,4,3,1368,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,4,9,28,28,6,24,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,13,31,36,11,41,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8,17,37,42,17,62,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,13,21,54,50,24,87,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,18,28,70,68,32,116,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,13,38,57,96,24,149,4,3,1368,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,4,9,28,28,6,24,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,13,29,36,11,41,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8,17,37,42,17,62,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,13,21,54,50,24,87,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,18,28,70,64,32,116,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,13,38,53,98,24,149,4,3,1368,0.0,0.0,0.0
