num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,9,20,23,41,6,22,1,2,12,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,18,41,40,73,12,41,1,2,12,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,30,69,50,112,20,66,1,2,12,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,50,108,79,157,30,97,1,2,12,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,70,142,89,170,42,134,1,2,12,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,9,20,23,41,6,22,1,2,12,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,18,40,43,72,12,41,1,2,12,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,28,67,60,118,20,66,1,2,12,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,48,105,68,142,30,97,1,2,12,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,70,146,89,186,42,134,1,2,12,0.0,0.0,0.0
