num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,9,25,29,43,6,24,3,2,432,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,18,42,41,48,16,43,3,2,432,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,30,56,43,50,30,61,3,2,432,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,30,72,41,46,30,95,3,2,432,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,26,83,44,61,31,109,5,2,15552,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,21,96,40,70,23,133,7,3,49248,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,9,26,29,48,6,24,3,2,432,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,18,42,36,47,16,43,3,2,432,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,28,59,42,46,30,61,3,2,432,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,30,72,41,48,30,95,3,2,432,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,26,83,44,68,31,109,5,2,15552,0.0,0.0,0.0
