num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,8,18,21,37,6,30,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,12,26,27,49,12,56,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,16,34,33,61,20,90,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,26,42,49,73,30,132,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,30,52,74,100,42,182,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,22,66,56,150,30,240,4,3,1368,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,8,18,21,37,6,30,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,12,26,27,49,12,56,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,16,34,33,61,20,90,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,22,42,51,73,30,132,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,28,52,74,100,42,182,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,22,64,56,134,30,240,4,3,1368,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,8,18,21,37,6,30,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,12,26,27,49,12,56,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,16,34,33,61,20,90,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,24,42,50,73,30,132,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,30,52,74,99,42,182,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,22,64,56,135,30,240,4,3,1368,0.0,0.0,0.0
