num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,8,43,27,75,6,30,4,2,2592,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,12,56,30,86,12,56,4,2,2592,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,16,52,33,86,18,90,4,2,2592,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,23,48,47,85,25,132,4,2,2592,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,33,66,63,128,34,182,4,2,2592,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,23,84,47,166,24,240,6,3,3888,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,8,45,27,79,6,30,4,2,2592,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,12,56,30,86,12,56,4,2,2592,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,16,52,33,86,18,90,4,2,2592,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,23,48,47,85,25,132,4,2,2592,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,33,66,60,127,34,182,4,2,2592,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,23,86,47,161,24,240,6,3,3888,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,8,45,27,79,6,30,4,2,2592,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,12,56,30,86,12,56,4,2,2592,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,16,52,33,86,18,90,4,2,2592,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,23,48,47,85,25,132,4,2,2592,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,33,66,60,129,34,182,4,2,2592,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,23,84,47,167,24,240,6,3,3888,0.0,0.0,0.0
