num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,6,15,24,26,6,27,3,2,432,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,9,21,25,28,12,46,3,2,432,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,12,27,26,30,19,69,3,2,432,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,24,33,47,32,27,96,3,2,432,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,34,46,56,52,36,127,3,2,432,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,22,66,45,72,27,162,6,3,47088,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,6,15,24,26,6,27,3,2,432,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,9,21,25,28,12,46,3,2,432,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,12,27,26,30,19,69,3,2,432,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,24,33,48,32,27,96,3,2,432,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,34,46,56,54,36,127,3,2,432,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,22,66,46,72,27,162,6,3,47088,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,6,15,24,26,6,27,3,2,432,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,9,21,25,28,12,46,3,2,432,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,12,27,26,30,19,69,3,2,432,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,24,33,48,32,27,96,3,2,432,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,34,46,56,54,36,127,3,2,432,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,24,70,45,72,27,162,6,3,47088,0.0,0.0,0.0
