num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,2,5,7,9,5,20,1,2,12,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,3,7,8,11,9,35,1,2,12,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,4,9,9,13,14,54,1,2,12,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,5,11,10,15,20,77,1,2,12,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,6,13,11,17,27,104,1,2,12,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,7,15,12,19,35,135,1,2,12,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,8,17,13,21,44,170,1,2,12,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,9,19,14,23,54,209,1,2,12,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,10,35,15,52,65,252,1,2,12,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,11,39,16,66,77,299,1,2,12,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,12,71,17,94,90,350,1,2,12,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,2,5,7,9,5,20,1,2,12,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,3,7,8,11,9,35,1,2,12,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,4,9,9,13,14,54,1,2,12,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,5,11,10,15,20,77,1,2,12,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,6,13,11,17,27,104,1,2,12,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,7,15,12,19,35,135,1,2,12,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,8,17,13,21,44,170,1,2,12,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,9,19,14,23,54,209,1,2,12,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,10,34,15,44,65,252,1,2,12,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,11,40,16,72,77,299,1,2,12,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,12,62,17,88,90,350,1,2,12,0.0,0.0,0.0
