num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,4,9,24,30,6,24,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,13,25,41,11,41,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8,17,32,45,17,62,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,10,21,33,53,24,87,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,12,25,40,60,32,116,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,14,29,40,64,41,149,2,2,72,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,16,33,44,72,51,186,2,2,72,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,18,37,44,80,62,227,2,2,72,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,20,62,50,114,74,272,2,2,72,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,22,63,57,148,87,321,2,2,72,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,24,79,60,157,101,374,2,2,72,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,4,9,24,30,6,24,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,13,25,41,11,41,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8,17,34,45,17,62,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,10,21,33,53,24,87,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,12,25,40,57,32,116,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,14,29,40,63,41,149,2,2,72,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,16,33,44,69,51,186,2,2,72,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,18,37,44,76,62,227,2,2,72,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,20,59,50,102,74,272,2,2,72,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,22,54,57,127,87,321,2,2,72,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,24,73,60,160,101,374,2,2,72,0.0,0.0,0.0
14,0.8769236077879695,0.0,0.8031707848438158,0.0,12,0,40,0,0,0,2,2,72,222.75588492900715,3.5228264030010905,0.0
