num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,9,18,28,41,6,22,1,2,12,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,16,44,43,75,12,41,1,2,12,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,30,69,60,106,20,66,1,2,12,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,50,105,76,150,30,97,1,2,12,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,70,160,89,177,42,134,1,2,12,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,89,185,106,230,56,177,1,2,12,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,110,288,119,270,72,226,1,2,12,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,169,338,159,292,90,281,1,2,12,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,211,431,188,366,110,342,1,2,12,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,239,490,211,383,132,409,1,2,12,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,300,592,260,483,156,482,1,2,12,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,9,18,23,41,6,22,1,2,12,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,18,39,45,75,12,41,1,2,12,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,28,72,60,119,20,66,1,2,12,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,46,107,75,142,30,97,1,2,12,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,74,159,97,193,42,134,1,2,12,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,99,211,118,209,56,177,1,2,12,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,125,255,133,237,72,226,1,2,12,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,169,364,159,325,90,281,1,2,12,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,206,439,209,344,110,342,1,2,12,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,264,513,240,439,132,409,1,2,12,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,318,654,279,515,156,482,1,2,12,0.0,0.0,0.0
14,0.5853290499029892,0.0,0.5672490756410242,0.0,67,0,86,0,0,0,1,2,12,64.61805281000852,3.4603733279946027,0.0
