num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,13,22,34,42,11,24,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,21,40,49,60,17,41,3,2,432,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,33,61,49,76,32,61,3,2,432,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,36,86,52,77,33,95,5,2,15552,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,45,96,59,92,50,108,6,2,93312,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,72,122,88,92,78,147,6,2,93312,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,42,139,49,109,54,182,7,2,559872,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,99,174,108,149,104,223,7,2,559872,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,84,210,90,141,90,272,10,2,120932352,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,76,208,83,115,83,286,10,2,120932352,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,98,241,75,150,107,358,11,2,725594112,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,13,22,34,42,11,24,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,20,42,45,53,17,41,3,2,432,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,35,55,50,78,32,61,3,2,432,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,34,76,43,71,33,95,5,2,15552,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,46,88,55,104,50,108,6,2,93312,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,76,123,77,84,78,147,6,2,93312,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,40,144,55,93,54,182,7,2,559872,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,100,178,91,145,104,223,7,2,559872,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,80,213,89,148,90,272,10,2,120932352,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,74,216,63,105,83,286,10,2,120932352,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,94,274,89,148,107,358,11,2,725594112,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,45,0,55,0,50,0,6,2,93312,0.0,0.0,0.0
