num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,4,19,16,32,5,21,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,28,16,22,8,26,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8,32,19,30,12,35,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,10,24,19,21,16,44,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,28,47,39,35,29,50,0,2,2,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,16,47,30,25,23,56,2,3,73,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,27,57,30,33,35,60,0,3,3,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,18,40,24,24,35,72,2,2,72,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,20,72,27,44,41,85,2,2,72,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,22,66,30,38,35,75,2,3,73,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,28,88,31,47,31,103,2,4,74,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,4,18,16,30,5,21,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,25,16,30,8,26,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8,26,19,22,12,35,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,10,24,19,21,16,44,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,28,47,36,36,29,50,0,2,2,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,16,47,26,28,23,56,2,3,73,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,27,55,33,34,35,60,0,3,3,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,18,40,24,24,35,72,2,2,72,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,20,66,27,37,41,85,2,2,72,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,22,78,29,60,35,75,2,3,73,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,26,90,34,48,31,103,2,4,74,0.0,0.0,0.0
