num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,8,18,21,37,6,30,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,12,26,27,49,12,56,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,16,34,33,61,20,90,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,20,42,39,73,30,132,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,24,50,45,85,42,182,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,28,58,51,97,56,240,2,2,72,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,32,66,57,109,72,306,2,2,72,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,36,74,63,121,90,380,2,2,72,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,40,120,69,213,110,462,2,2,72,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,44,102,75,194,132,552,2,2,72,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,48,178,81,286,156,650,2,2,72,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,8,18,21,37,6,30,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,12,26,27,49,12,56,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,16,34,33,61,20,90,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,20,42,39,73,30,132,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,24,50,45,85,42,182,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,28,58,51,97,56,240,2,2,72,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,32,66,57,109,72,306,2,2,72,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,36,74,63,121,90,380,2,2,72,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,40,96,69,160,110,462,2,2,72,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,44,128,75,232,132,552,2,2,72,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,48,128,81,225,156,650,2,2,72,0.0,0.0,0.0
14,0.7482266440949248,0.5022333230545151,0.7115237203560698,0.50060000000003,24,50,45,85,0,0,2,2,72,241.15075068899023,4.316098943003453,294.40594673099986
14,0.7443702695673244,0.0,0.7077810564124187,0.0,24,0,45,0,0,0,2,2,72,221.1532261310058,4.353196426993236,0.0
