num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,6,15,24,26,6,27,3,2,432,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,9,21,25,28,12,46,3,2,432,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,12,27,26,30,19,69,3,2,432,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,15,33,27,32,27,96,3,2,432,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,18,39,28,34,36,127,3,2,432,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,21,45,29,36,46,162,3,2,432,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,24,51,30,38,57,201,3,2,432,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,27,57,31,40,69,244,3,2,432,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,30,89,32,73,82,291,3,2,432,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,33,97,33,88,96,342,3,2,432,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,36,122,34,104,111,397,3,2,432,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,6,15,24,26,6,27,3,2,432,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,9,21,25,28,12,46,3,2,432,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,12,27,26,30,19,69,3,2,432,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,15,33,27,32,27,96,3,2,432,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,18,39,28,34,36,127,3,2,432,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,21,45,29,36,46,162,3,2,432,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,24,51,30,38,57,201,3,2,432,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,27,57,31,40,69,244,3,2,432,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,30,70,32,62,82,291,3,2,432,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,33,98,33,85,96,342,3,2,432,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,36,121,34,108,111,397,3,2,432,0.0,0.0,0.0
