num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,4,10,19,25,6,24,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,14,24,33,11,41,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8,18,29,41,17,62,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,10,22,32,49,24,87,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,12,26,37,57,32,116,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,14,30,39,65,41,149,2,2,72,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,16,34,44,73,51,186,2,2,72,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,18,38,49,81,62,227,2,2,72,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,20,48,52,96,74,272,2,2,72,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,22,70,57,116,87,321,2,2,72,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,24,65,60,121,101,374,2,2,72,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,4,10,19,25,6,24,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,14,24,33,11,41,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8,18,27,41,17,62,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,10,22,32,49,24,87,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,12,26,37,57,32,116,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,14,30,39,65,41,149,2,2,72,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,16,34,44,73,51,186,2,2,72,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,18,38,49,81,62,227,2,2,72,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,20,54,52,99,74,272,2,2,72,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,22,85,57,119,87,321,2,2,72,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,24,74,60,127,101,374,2,2,72,0.0,0.0,0.0
14,0.7802397310704181,0.0017999999999998742,0.7798025005165525,0.0017999999999198657,12,26,37,57,0,0,2,2,72,187.93661160500778,3.393416614999296,146.9311211019958
14,0.7854108275004236,0.0,0.7843454270550626,0.0,12,0,37,0,0,0,2,2,72,191.50230192599702,3.415852217003703,0.0
