num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,2,7,10,17,5,14,2,4,49,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,2,7,10,16,5,14,2,6,51,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,7,13,16,26,14,27,2,6,51,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,3,9,11,22,9,20,2,9,54,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,3,9,11,18,9,20,2,11,56,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,16,19,30,34,44,65,2,8,53,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,15,16,26,36,27,44,2,12,57,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,19,20,30,35,35,54,2,13,58,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,19,24,32,39,44,65,2,14,59,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,20,24,31,37,44,65,2,16,61,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,23,27,39,51,77,104,2,15,60,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,2,7,10,14,5,14,2,4,49,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,2,5,10,12,5,14,2,6,51,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,5,15,19,24,14,27,2,6,51,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,3,9,11,19,9,20,2,9,54,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,3,11,11,17,9,20,2,11,56,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,20,20,31,39,44,65,2,8,53,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,15,16,24,35,27,44,2,12,57,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,17,22,28,34,35,54,2,13,58,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,16,22,26,34,44,65,2,14,59,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,18,25,34,47,44,65,2,16,61,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,28,33,46,57,77,104,2,15,60,0.0,0.0,0.0
