num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,1,5,6,9,2,20,2,3,48,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,2,7,6,11,5,35,2,3,48,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,3,9,7,13,9,54,2,3,48,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,3,11,8,15,9,77,2,3,48,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,4,13,8,17,14,104,2,3,48,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,5,15,9,19,20,135,2,3,48,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,5,17,10,21,20,170,2,3,48,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,6,19,10,23,27,209,2,3,48,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,7,39,11,60,35,252,2,3,48,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,7,45,12,73,35,299,2,3,48,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,8,53,12,79,44,350,2,3,48,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,1,5,6,9,2,20,2,3,48,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,2,7,6,11,5,35,2,3,48,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,3,9,7,13,9,54,2,3,48,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,3,11,8,15,9,77,2,3,48,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,4,13,8,17,14,104,2,3,48,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,5,15,9,19,20,135,2,3,48,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,5,17,10,21,20,170,2,3,48,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,6,19,10,23,27,209,2,3,48,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,7,36,11,55,35,252,2,3,48,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,7,32,12,52,35,299,2,3,48,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,8,47,12,66,44,350,2,3,48,0.0,0.0,0.0
