num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,1,4,14,18,2,20,2,3,48,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,2,6,14,19,5,35,2,3,48,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,3,8,17,26,9,54,2,3,48,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,3,10,17,29,9,77,2,3,48,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,4,12,17,35,14,104,2,3,48,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,5,14,20,40,20,135,2,3,48,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,5,16,20,38,20,170,2,3,48,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,6,18,23,48,27,209,2,3,48,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,1,4,12,18,2,20,2,3,48,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,2,6,13,19,5,35,2,3,48,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,3,8,17,26,9,54,2,3,48,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,3,10,17,29,9,77,2,3,48,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,4,12,17,35,14,104,2,3,48,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,5,14,20,40,20,135,2,3,48,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,5,16,20,38,20,170,2,3,48,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,6,18,23,47,27,209,2,3,48,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,7,20,21,57,35,252,2,3,48,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,7,44,23,100,35,299,2,3,48,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,8,55,25,115,44,350,2,3,48,0.0,0.0,0.0
