num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
26,0.0,0.0,0.0,0.0,26,32,37,51,65,104,3,16,246,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,1,5,10,12,2,14,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,1,5,10,12,2,14,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,3,10,12,17,9,27,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,2,9,11,19,5,20,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,2,11,11,17,5,20,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,17,20,27,40,35,65,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,11,16,19,32,20,44,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,15,20,25,35,27,54,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,14,22,25,40,35,65,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,15,19,27,37,35,65,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,21,29,41,51,65,104,3,1,216,0.0,0.0,0.0
