num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,1,5,5,9,2,20,3,4,84,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,2,7,5,11,5,35,3,4,84,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,2,9,6,13,5,54,3,4,84,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,3,11,6,15,9,77,3,4,84,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,3,13,7,17,9,104,3,4,84,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,4,15,7,19,14,135,3,4,84,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,4,17,7,21,14,170,3,4,84,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,5,19,8,23,20,209,3,4,84,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,5,41,9,55,20,252,3,4,84,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,6,52,9,67,27,299,3,4,84,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,6,57,9,85,27,350,3,4,84,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,2,5,5,9,5,20,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,4,7,6,11,8,35,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,6,9,6,13,14,54,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,8,11,7,15,20,77,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,10,13,7,17,28,104,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,12,15,8,19,36,135,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,14,17,8,21,46,170,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,16,19,9,23,56,209,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,18,53,9,68,68,252,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,30,38,26,56,80,299,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,36,62,22,89,94,350,3,1,216,0.0,0.0,0.0
