num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,1,4,14,18,2,20,3,4,84,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,1,6,14,19,2,35,3,4,84,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,2,8,13,26,5,54,3,4,84,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,2,10,15,29,5,77,3,4,84,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,3,12,17,35,9,104,3,4,84,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,3,14,17,40,9,135,3,4,84,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,4,16,17,38,14,170,3,4,84,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,4,18,18,47,14,209,3,4,84,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,5,20,16,57,20,252,3,4,84,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,1,4,14,18,5,20,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,3,6,14,19,8,35,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,5,8,14,26,14,54,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,7,10,16,26,20,77,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,9,12,20,35,28,104,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,11,14,20,40,36,135,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,13,16,19,38,46,170,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,15,18,20,48,56,209,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,17,20,21,57,68,252,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,26,46,35,112,80,299,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,28,44,33,116,94,350,3,1,216,0.0,0.0,0.0
