num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,8,20,16,41,10,22,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,27,37,39,66,22,41,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,49,68,56,119,40,66,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,98,104,80,144,60,97,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,136,150,100,168,84,134,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,208,200,121,200,112,177,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,251,274,144,267,144,226,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,299,348,153,326,180,281,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,373,404,192,379,220,342,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,463,495,223,375,264,409,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,562,616,233,509,312,482,3,1,216,0.0,0.0,0.0
