num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,19,26,34,49,20,24,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,25,43,35,59,29,43,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,42,58,41,49,51,61,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,51,74,51,69,55,95,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,72,94,53,71,81,109,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,88,88,70,61,95,133,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,98,116,56,58,125,152,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,111,130,59,89,134,208,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,117,154,50,82,148,210,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,142,176,81,74,190,249,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,169,182,61,87,203,281,3,1,216,0.0,0.0,0.0
