num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
8,0.0,0.0,0.0,0.0,10,28,19,43,15,41,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,12,26,22,46,20,62,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,10,28,19,46,15,41,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,12,26,22,46,20,62,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,26,24,59,45,33,87,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,10,28,19,43,15,41,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,12,30,22,56,20,62,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,24,24,52,45,33,87,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,10,28,19,43,15,41,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,12,26,22,43,20,62,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,19,24,53,45,29,87,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,10,28,19,46,15,41,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,12,36,22,63,20,62,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,22,24,46,45,29,87,2,2,72,0.0,0.0,0.0
