num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.9154415441544155,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.9310352089996741
6,0.6803680368036803,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.7988454169999386
8,0.6642324813684789,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2.7943163939999067
10,0.21025230276331583,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.160246209999968
12,0.45490039042947256,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,0.91625,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.9362628320000113
6,0.6543635908977244,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.8341236410001329
8,0.6409781956391281,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2.8978790330002084
10,0.44395516413130504,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,5.262314935000177
12,0.5893804423981585,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,0.9116000000000001,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.9429677630000697
6,0.6528979346902037,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.048866905000068
8,0.7431100885309858,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.514642243000253
10,0.3657755081606085,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,7.202599543999895
12,0.5760260260260264,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,0.912645632281614,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.9493737439997858
6,0.6816363272654533,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.049737764999918
8,0.6371911573472042,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.663629335999758
10,0.43395565343610804,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,7.684941436999907
12,0.5842511013215859,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,0.9143457172858642,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.9323228179996477
6,0.6574972491747525,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0136915550001504
8,0.6758541343604624,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.3854290590002165
10,0.18416307723129305,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,6.171124597000016
12,0.587996796476124,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0
